Sweden_index,z_index_index,ATC_match,best_z_index_index
81,6065,True,40991
81,25860,True,40991
81,42703,True,40991
81,46734,True,40991
81,54579,True,40991
81,69955,True,40991
81,71105,True,40991
82,553,True,26417
82,2178,True,26417
82,2369,True,26417
82,2386,True,26417
82,3636,True,26417
82,6065,True,26417
82,25860,True,26417
82,42703,True,26417
82,46734,True,26417
82,54579,True,26417
82,69955,True,26417
82,71105,True,26417
83,2600,True,29866
83,9949,True,29866
84,2600,True,29866
84,9949,True,29866
85,2600,True,29874
85,9949,True,29874
86,6179,True,79790
86,9116,True,79790
86,17908,True,79790
86,51513,True,79790
87,23409,True,113476
87,24465,True,113476
87,32158,True,113476
88,23409,True,113476
88,24465,True,113476
88,32158,True,113476
89,23409,True,113476
89,24465,True,113476
89,32158,True,113476
90,23409,True,113476
90,24465,True,113476
90,32158,True,113476
91,23409,True,113476
91,24465,True,113476
91,32158,True,113476
92,23409,True,113476
92,24465,True,113476
92,32158,True,113476
93,23409,True,113476
93,24465,True,113476
93,32158,True,113476
94,23409,True,113476
94,24465,True,113476
94,32158,True,113476
95,23409,True,113476
95,24465,True,113476
95,32158,True,113476
96,23409,True,113476
96,24465,True,113476
96,32158,True,113476
97,23409,True,113476
97,24465,True,113476
97,32158,True,113476
98,23409,True,113476
98,24465,True,113476
98,32158,True,113476
105,17987,True,99090
105,17988,True,99090
105,20958,True,99090
106,17987,True,99090
106,17988,True,99090
106,20958,True,99090
107,476,True,
107,749,True,
107,25864,True,
108,476,True,
108,749,True,
108,25864,True,
109,476,True,
109,749,True,
109,25864,True,
110,476,True,
110,749,True,
110,25864,True,
111,476,True,
111,749,True,
111,25864,True,
112,476,True,
112,749,True,
112,25864,True,
113,8330,True,84662
113,8331,True,84662
113,8332,True,84662
113,8333,True,84662
113,15862,True,84662
113,15863,True,84662
113,15864,True,84662
113,17568,True,84662
113,17570,True,84662
113,17572,True,84662
113,17573,True,84662
113,17574,True,84662
113,17575,True,84662
113,23077,True,84662
113,23078,True,84662
113,27414,True,84662
113,27415,True,84662
