Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilit�;Codice ATC
PREGABALIN SUN;043571114;PREGABALIN;"""300 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;26/11/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN SUN;043571049;PREGABALIN;"""75 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;11/09/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN SUN;043571076;PREGABALIN;"""150 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;30/04/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN SUN;043571064;PREGABALIN;"""150 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;30/06/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN SUN;043571037;PREGABALIN;"""75 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;30/06/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN TEVA ITALIA;043749504;PREGABALIN;"""75 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL";TEVA ITALIA S.R.L.;22/11/2024;31/01/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;"Carenza relativa a entrambi i canali:inizio carenza canale ospedaliero: 22/11/2024 inizio carenza canale retail: 23/12/2024";A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN TEVA ITALIA;043750191;PREGABALIN;"""300 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL";TEVA ITALIA S.R.L.;24/02/2025;31/05/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN ZENTIVA;044384129;PREGABALIN;75 MG - CAPSULA RIGIDA- USO ORALE - BLISTER (PVC/ALU) - 56 CAPSULE;ZENTIVA K.S.;01/05/2021;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN ZENTIVA;044384182;PREGABALIN;150 MG - CAPSULA RIGIDA- USO ORALE - BLISTER (PVC/ALU) - 56 CAPSULE;ZENTIVA K.S.;31/03/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN ZENTIVA;044384016;PREGABALIN;25 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/ALU/PVC/ALU) - 14 CAPSULE;ZENTIVA K.S.;27/12/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN ZENTIVA;044384372;PREGABALIN;25 mg - Capsula rigida -  Uso orale - blister (PVC/PVDC/alu) - 14 capsule;ZENTIVA K.S.;18/08/2023;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN ZENTIVA;044384117;PREGABALIN;75 MG - CAPSULA RIGIDA- USO ORALE - BLISTER (PVC/ALU) - 14 CAPSULE;ZENTIVA K.S.;29/02/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PRELUD;042217063;SILDENAFIL;"""100 MG COMPRESSA RIVESTITA CON FILM"" 4 COMPRESSE IN BLISTER PVC/AL";A.G.I.P.S. FARMACEUTICI SRL;31/10/2020;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G04BE03
PRELYNCA;043715010;PREGABALIN;"""25 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL";SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;07/01/2025;;No;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PRENACID;023730029;DESONIDE FOSFATO DISODICO;"""0,25% COLLIRIO, SOLUZIONE""FLACONE 10 ML";SIFI S.P.A.;22/01/2022;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;S01BA11
PRENACID;023730056;DESONIDE FOSFATO DISODICO;""" 0,25 % UNGUENTO OFTALMICO "" TUBO 5 G";SIFI S.P.A.;22/01/2022;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;S01BA11
PREVENAR 13;039550025;VACCINO PNEUMOCOCCICO POLISACCARIDICO CONIUGATO (13 VALENTE ADSORBITO);""" SOSPENSIONE INIETTABILE-USO INTRAMUSCOLARE-SIRINGA PRERIEMPITA (VETRO) 0,5 ML "" 1 SIRINGA PRERIEMPITA CON AGO A PARTE";PFIZER EUROPE MA EEIG;30/04/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;J07AL02
PREVENAR 13;039550037;VACCINO PNEUMOCOCCICO POLISACCARIDICO CONIUGATO (13 VALENTE ADSORBITO);""" SOSPENSIONE INIETTABILE-USO INTRAMUSCOLARE-SIRINGA PRERIEMPITA (VETRO) 0,5 ML "" 10 SIRINGHE PRERIEMPITE";PFIZER EUROPE MA EEIG;30/09/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;J07AL02
PREZISTA;037634033;DARUNAVIR;"""400 MG COMPRESSE RIVESTITE - USO ORALE - FLACONE (HDPE)"" 60 COMPRESSE";JANSSEN-CILAG INTERNATIONAL N.V.;14/04/2016;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J05AE10
PREZISTA;037634045;DARUNAVIR;"""150 MG COMPRESSE RIVESTITE - USO ORALE - FLACONE(HDPE)"" 240 COMPRESSE";JANSSEN-CILAG INTERNATIONAL N.V.;14/04/2016;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J05AE10
PRILACE;029243019;PIRETANIDE + RAMIPRIL;"""5 MG + 6 MG COMPRESSE "" 14 COMPRESSE DIVISIBILI";ZENTIVA ITALIA S.R.L.;01/01/2025;;No;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09BA05
PRILAGIN;025904020;MICONAZOLO NITRATO;CREMA DERMATOLOGICA 2% 30 G;ALFASIGMA S.P.A.;25/11/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D01AC02
PRILAGIN;025904057;MICONAZOLO NITRATO;2 CAPSULE VAGINALI 1200 MG;ALFASIGMA S.P.A.;01/06/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G01AF04
PRILAGIN;025904044;MICONAZOLO NITRATO;6 CAPSULE VAGINALI 400 MG;ALFASIGMA S.P.A.;01/06/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G01AF04
PRIORIX;034199075;VACCINO MORBILLO/PAROTITE/ROSOLIA;"""POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 1 FLACONCINO POLVERE + 1 SIRINGA PRERIEMPITA SOLVENTE DA 0,5 ML CON DUE AGHI";GLAXOSMITHKLINE S.P.A.;19/10/2017;;S�;Cessata commercializzazione definitiva;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A TOTALE CARICO DELL'ASSISTITO;J07BD52
PRIORIX;034199087;VACCINO MORBILLO/PAROTITE/ROSOLIA;"""POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 10 FLACONCINI POLVERE + 10 SIRINGHE PRERIEMPITE SOLVENTE DA 0,5 ML CON 20 AGHI";GLAXOSMITHKLINE S.P.A.;08/04/2024;;No;Elevata richiesta;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A TOTALE CARICO DELL'ASSISTITO;J07BD52
PRIORIX TETRA;038200061;VIRUS DELLA PAROTITE CEPPO JERYL LYNN (LIVELLO B) (VIVO, ATTENUATO) PRODOTTO SU CELLULE EMBRIONALI DI POLLO + VIRUS DELLA ROSOLIA CEPPO WISTAR RA 27/3 (VIVO,ATTENUATO) + VIRUS DELLA VARICELLA VIVO ATTENUATO(CEPPO OKA) + VIRUS VIVO ATTENUATO DEL MORBILLO (CEPPO SCHWARZ);"""POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" 10 FLACONCINI POLVERE + 10 SIRINGHE PRERIEMPITE DI SOLVENTE DA 0.5 ML (CON 2 AGHI)";GLAXOSMITHKLINE S.P.A.;01/01/2019;31/12/2025;S�;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A TOTALE CARICO DELL'ASSISTITO;J07BD54
PRIORIX TETRA;038200059;VIRUS DELLA PAROTITE CEPPO JERYL LYNN (LIVELLO B) (VIVO, ATTENUATO) PRODOTTO SU CELLULE EMBRIONALI DI POLLO + VIRUS DELLA ROSOLIA CEPPO WISTAR RA 27/3 (VIVO,ATTENUATO) + VIRUS DELLA VARICELLA VIVO ATTENUATO(CEPPO OKA) + VIRUS VIVO ATTENUATO DEL MORBILLO (CEPPO SCHWARZ);"""POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" 1 FLACONCINO POLVERE + 1 SIRINGA PRERIEMPITA DI SOLVENTE DA 0.5 ML (CON 2 AGHI)";GLAXOSMITHKLINE S.P.A.;01/01/2019;31/12/2025;S�;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A TOTALE CARICO DELL'ASSISTITO;J07BD54
PRITOR;034326126;TELMISARTAN;20 MG 28 COMPRESSE IN BLISTER USO ORALE;BAYER AG;13/06/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA07
PRITOR;034326076;TELMISARTAN;80 MG 28 COMPRESSE IN BLISTER USO ORALE;BAYER AG;10/05/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA07
PRITOR;034326025;TELMISARTAN;40 MG 28 COMPRESSE IN BLISTER USO ORALE;BAYER AG;10/05/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA07
PRITORPLUS;035705021;IDROCLOROTIAZIDE;40/12,5 MG 28 COMPRESSE IN BLISTER USO ORALE;BAYER AG;30/11/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09DA07
PRITORPLUS;035705122;IDROCLOROTIAZIDE;"""80MG/25MG COMPRESSA - USO ORALE - BLISTER (POLIAMIDE/AL/PVC)"" 28 COMPRESSE";BAYER AG;10/05/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09DA07
PRITORPLUS;035705072;IDROCLOROTIAZIDE;80/12,5 MG 28 COMPRESSE IN BLISTER USO ORALE;BAYER AG;02/12/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09DA07
PRIVIGEN;039712043;IMMUNOGLOBULINA A UMANA;"""100 MG/ML - SOLUZIONE PER INFUSIONE � USO ENDOVENOSO � FLACONCINO(VETRO)�  1 FLACONCINO DA 25 ML";CSL BEHRING GMBH;16/09/2020;;S�;Elevata richiesta: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A CARICO DEL SSN AMBITO OSPED.;J06BA02
PRIVIGEN;039712017;IMMUNOGLOBULINA A UMANA;"""100 MG/ML - SOLUZIONE PER INFUSIONE � USO ENDOVENOSO � FLACONCINO(VETRO)�  1 FLACONCINO DA 50 ML";CSL BEHRING GMBH;16/09/2020;;S�;Elevata richiesta: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A CARICO DEL SSN AMBITO OSPED.;J06BA02
PRIVIGEN;039712031;IMMUNOGLOBULINA A UMANA;"""100 MG/ML - SOLUZIONE PER INFUSIONE � USO ENDOVENOSO � FLACONCINO(VETRO)�  1 FLACONCINO DA 200 ML";CSL BEHRING GMBH;16/09/2020;;S�;Elevata richiesta: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A CARICO DEL SSN AMBITO OSPED.;J06BA02
PRIVIGEN;039712029;IMMUNOGLOBULINA A UMANA;"""100 MG/ML - SOLUZIONE PER INFUSIONE � USO ENDOVENOSO � FLACONCINO(VETRO)�  1 FLACONCINO DA 100 ML";CSL BEHRING GMBH;16/09/2020;;S�;Elevata richiesta: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A CARICO DEL SSN AMBITO OSPED.;J06BA02
PROMETAX;034318117;RIVASTIGMINA;6 MG 56 CAPSULE RIGIDE IN BLISTER USO ORALE;ALMIRALL S.A.;01/03/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N06DA03
PROMETAX;034318081;RIVASTIGMINA;4,5 MG 56 CAPSULE RIGIDE IN BLISTER USO ORALE;ALMIRALL S.A.;01/03/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N06DA03
PROMETAX;034318055;RIVASTIGMINA;3 MG 56 CAPSULE RIGIDE IN BLISTER USO ORALE;ALMIRALL S.A.;30/09/2014;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N06DA03
PROMETAX;034318028;RIVASTIGMINA;1,5 MG 56 CAPSULE RIGIDE IN BLISTER USO ORALE;ALMIRALL S.A.;01/03/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N06DA03
PROMIXIN;037129018;COLISTIMETATO SODICO;"""1 MUI POLVERE PER SOLUZIONE PER NEBULIZZATORE"" 30 FLACONCINI DI VETRO";ZAMBON S.P.A.;01/11/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;J01XB01
PROPAFENONE EG;033804028;PROPAFENONE CLORIDRATO;"""300 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE";EG S.P.A.;15/10/2024;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C01BC03
PROPAFENONE EG;033804016;PROPAFENONE CLORIDRATO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE";EG S.P.A.;30/06/2024;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C01BC03
PROPAFENONE PENSA;033737014;PROPAFENONE CLORIDRATO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE";Towa Pharmaceutical S.p.A.;01/05/2025;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C01BC03
PROPOFOL KABI;036849038;PROPOFOL;"""10MG/ML EMULSIONE INIETTABILE O PER INFUSIONE"" 5 FLACONCINI DA 20 ML";FRESENIUS KABI ITALIA S.R.L.;29/08/2020;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;N01AX10
PROPOFOL KABI;036849228;PROPOFOL;"""20 MG/ML EMULSIONE INIETTABILE O PER INFUSIONE"" 10 FLACONCINI IN VETRO DA 100 ML";FRESENIUS KABI ITALIA S.R.L.;31/01/2024;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N01AX10
PROPOFOL KABI;036849040;PROPOFOL;"""10MG/ML EMULSIONE INIETTABILE O PER INFUSIONE"" 10 FLACONCINI DA 20 ML";FRESENIUS KABI ITALIA S.R.L.;30/04/2025;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;N01AX10
PROTAMINA MEDA;004698027;PROTAMINA CLORIDRATO;"""50 MG/5 ML SOLUZIONE INIETTABILE PER USO ENDOVENOSO""1 FIALA 5 ML";VIATRIS ITALIA S.R.L.;16/02/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;V03AB14
PROXEDOX;040010011;CEFPODOXIME PROXETIL;""" 100 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;01/08/2019;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD13
PROXEDOX;040010023;CEFPODOXIME PROXETIL;"""200 MG COMPRESSE RIVESTITE CON FILM"" 6 COMPRESSE";SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;01/08/2019;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD13
PROXEDOX;040010035;CEFPODOXIME PROXETIL;"""40 MG/5 ML GRANULATO PER SOSPENSIONE ORALE "" FLACONE DA 100 ML";SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;01/08/2019;;S�;Cessata commercializzazione temporanea;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A TOTALE CARICO DEL SSN.;J01DD13
PROZAC;025970056;FLUOXETINA CLORIDRATO;"""20 MG COMPRESSE DISPERSIBILI"" 28 COMPRESSE IN BLISTER PVC/PE/PCTFE/AL";ELI LILLY ITALIA S.P.A.;31/01/2021;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N06AB03
PROZAC;025970043;FLUOXETINA CLORIDRATO;"""20 MG CAPSULE RIGIDE"" 28 CAPSULE IN BLISTER PVC/AL";ELI LILLY ITALIA S.P.A.;31/12/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N06AB03
PSEROCINA NASALE;046990026;MUPIROCINA;"""20 MG/G UNGUENTO NASALE"" 1 TUBO IN ALLUMINIO  DA 5 G";INFECTOPHARM ARZNEIMITTEL UND CONSILIUM GMBH;13/01/2025;14/04/2025;No;Motivi commerciali;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R01AX06
PULMIST;033339021;FLUNISOLIDE;"""250 MICROGRAMMI SOSPENSIONE PRESSURIZZATA PER INALAZIONE"" BOMBOLA DA 200 EROGAZIONI";SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;15/10/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;R03BA03
PULMIST;033339019;FLUNISOLIDE;JET 250MICROGRAMMI/DOSE SOSPENSIONE PER INALAZIONE, CONTENITORE SOTTO PRESSIONE DA 200 DOSI;SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;15/10/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;R03BA03
PUREGON;029520184;FOLLITROPINA BETA;50 UI/0,5 ML SOLUZIONE INIETTABILE 5  FLACONCINI USO IM/SC;N.V. ORGANON;29/02/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;G03GA06
PUREGON;029520234;FOLLITROPINA BETA;100 UI/0,5 ML SOLUZIONE INIETTABILE 5  FLACONCINI USO IM/SC;N.V. ORGANON;30/06/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;G03GA06
PURICLAV;037912021;AMOXICILLINA TRIIDRATO + POTASSIO CLAVULANATO;""" 875 MG + 125 MG COMPRESSE RIVESTITE CON FILM "" 12 COMPRESSE";PHARMACARE S.R.L.;30/09/2024;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01CR02
PURSENNID;004758049;SENNA FOGLIA (GLUCOSIDI PURI);"""12 MG COMPRESSE RIVESTITE"" 30 COMPRESSE";HALEON ITALY S.R.L.;31/12/2021;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A06AB06
QUALIDOFTA;043832017;BRIMONIDINA TARTRATO;"""0,2% COLLIRIO, SOLUZIONE"" 60 CONTENITORI MONODOSE IN LDPE";FIDIA FARMACEUTICI S.P.A.;20/11/2024;;S�;Motivi commerciali;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01EA05
QUENTIAX;041195583;QUETIAPINA FUMARATO;"""150 MG COMPRESSE A RILASCIO PROLUNGATO"" 60 COMPRESSE IN BLISTER OPA/ALU/PVC/ALU";KRKA D.D. NOVO MESTO;13/07/2023;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N05AH04
QUENTIAX;041195381;QUETIAPINA FUMARATO;"""200 MG COMPRESSE RIVESTITE CON FILM"" 60 COMPRESSE IN BLISTER PVC/AL";KRKA D.D. NOVO MESTO;20/01/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N05AH04
QUETIAPINA ACCORD;041966096;QUETIAPINA;"""300 MG COMPRESSE A RILASCIO PROLUNGATO"" 60 COMPRESSE IN BLISTER PVC/PVDC/AL";ACCORD HEALTHCARE, S.L.U.;23/01/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N05AH04
QUETIAPINA ACCORD;041966146;QUETIAPINA;"""400 MG COMPRESSE A RILASCIO PROLUNGATO"" 60 COMPRESSE IN BLISTER PVC/PVDC/AL";ACCORD HEALTHCARE, S.L.U.;12/12/2024;;S�;Problemi regolatori;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N05AH04
QUETIAPINA ACCORD;041966223;QUETIAPINA;"""50 MG COMPRESSE A RILASCIO PROLUNGATO"" 60 COMPRESSE IN BLISTER PVC/PVDC/AL";ACCORD HEALTHCARE, S.L.U.;16/04/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N05AH04
